GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tn-query,com.tn.query.node,ComparisonNode,0,5,0,0,0,2,0,1,0,1
tn-query,com.tn.query.node,Node,0,7,0,2,0,1,0,2,0,1
tn-query,com.tn.query.node,In,0,20,0,0,0,3,0,2,0,2
tn-query,com.tn.query.node,GreaterThan,0,20,0,0,0,3,0,2,0,2
tn-query,com.tn.query.node,Or,0,31,0,0,0,6,0,4,0,4
tn-query,com.tn.query.node,GreaterThanOrEqual,0,20,0,0,0,3,0,2,0,2
tn-query,com.tn.query.node,NotEqual,0,20,0,0,0,3,0,2,0,2
tn-query,com.tn.query.node,And,0,31,0,0,0,6,0,4,0,4
tn-query,com.tn.query.node,LessThanOrEqual,0,20,0,0,0,3,0,2,0,2
tn-query,com.tn.query.node,Equal,0,20,0,0,0,3,0,2,0,2
tn-query,com.tn.query.node,AbstractNode,0,68,1,13,0,12,1,12,0,6
tn-query,com.tn.query.node,LessThan,0,20,0,0,0,3,0,2,0,2
tn-query,com.tn.query.node,Parenthesis,15,42,0,8,4,8,4,8,4,4
tn-query,com.tn.query.node,LogicalNode,0,10,0,0,0,4,0,2,0,2
tn-query,com.tn.query,Query,0,191,0,32,0,39,0,27,0,11
tn-query,com.tn.query,Mapper,56,267,10,24,8,41,11,31,2,23
tn-query,com.tn.query,ValueMappers,2,209,1,45,1,23,1,29,0,7
tn-query,com.tn.query,Named,0,9,0,0,0,4,0,2,0,2
tn-query,com.tn.query,ComparisonOperator,6,229,1,19,0,35,1,24,0,15
tn-query,com.tn.query,QueryException,9,0,0,0,4,0,2,0,2,0
tn-query,com.tn.query,AbstractQueryParser,246,0,26,0,26,0,32,0,19,0
tn-query,com.tn.query,QueryParseException,5,4,0,0,2,2,1,1,1,1
